Employee_ID,Employee_Name,Department,Experience_Years,Team,Location
EMP060,Nancy Payne PhD,Finance Operations,5.6,Team A,United Kingdom
EMP061,James Hernandez,Finance Operations,5.1,Team B,Australia
EMP062,William Davis,Procurement,9.2,Team A,United Kingdom
EMP063,Bruce Marquez,Customer Service,3.2,Team C,Australia
EMP064,Meagan Douglas,Data Operations,3.2,Team B,Australia
EMP065,Emily Nguyen,Procurement,5.3,Team C,India
EMP066,Andrew Morales,IT Support,7.7,Team D,Australia
EMP067,Anthony Palmer,Order Management,1.0,Team C,Singapore
EMP068,Patricia Roberts,Data Operations,8.5,Team D,United Kingdom
EMP069,Christopher Collins,Customer Service,4.8,Team D,United Kingdom
EMP070,Natasha Freeman,Procurement,4.0,Team B,Singapore
EMP071,Nancy Kelley,Finance Operations,7.0,Team D,Australia
EMP072,Craig Simmons,IT Support,5.0,Team C,United Kingdom
EMP073,Lisa Porter,Data Operations,7.9,Team D,United States
EMP074,Diana Silva,HR Operations,6.7,Team B,India
EMP075,Sarah Miller,Customer Service,4.8,Team A,India
EMP076,Samantha Scott,Procurement,9.8,Team B,Singapore
EMP077,Tina Martinez,Procurement,10.5,Team C,United States
EMP078,Danielle Myers,Finance Operations,2.9,Team B,India
EMP079,Benjamin Rodriguez,Order Management,11.0,Team B,Singapore
EMP080,Robert Collins,Procurement,6.8,Team C,Singapore
EMP081,Brandon Ray,Order Management,6.6,Team C,United States
EMP082,Jason Pittman,Customer Service,4.6,Team D,Singapore
EMP083,Dustin Kelley,HR Operations,9.7,Team D,United States
EMP084,Ashley Macdonald,Procurement,4.8,Team D,India
EMP085,Danielle Stephens,Procurement,9.0,Team A,United States
EMP086,Brian Smith,Compliance,3.9,Team B,United States
EMP087,Tabitha Williams,Procurement,4.9,Team B,Singapore
EMP088,Virginia Morris,Data Operations,3.5,Team D,Singapore
EMP089,Andrea Smith,Order Management,2.4,Team C,United Kingdom
EMP090,Hunter Smith,IT Support,8.8,Team D,United Kingdom
EMP091,Joseph Ramirez,Finance Operations,6.5,Team A,India
EMP092,Austin Sullivan,Finance Operations,5.2,Team B,India
EMP093,Sarah Lee,IT Support,0.6,Team D,United States
EMP094,Patrick Wolf,Finance Operations,7.6,Team D,Singapore
EMP095,Lindsey Baker,Finance Operations,0.6,Team D,India
EMP096,Patricia Matthews,Finance Operations,6.6,Team C,Australia
EMP097,Vincent Willis,Customer Service,0.7,Team D,United Kingdom
EMP098,Connie Jones,HR Operations,11.1,Team B,United Kingdom
EMP099,Denise White,Procurement,7.6,Team C,United States
EMP100,Javier James,Customer Service,9.6,Team A,United States
